i,name,distance,elevation,url
001,Kottenforst Trails,31,357,https://rdspt.com/inlawsgravel/gpxs/001.gpx
002,Röttgen-Buschhoven-Apfelmaar,52,304,https://rdspt.com/inlawsgravel/gpxs/002.gpx
003,Messdorf-Apfelmaar-Kottenforst-Bad Godesberg,51,371,https://rdspt.com/inlawsgravel/gpxs/003.gpx
004,Drachenfelserländchen-Rheinufer V1,42,428,https://rdspt.com/inlawsgravel/gpxs/004.gpx
005,$InlawsGravel05_05_,34,356,https://rdspt.com/inlawsgravel/gpxs/005.gpx
006,$InlawsGravel13_05_,35,311,https://rdspt.com/inlawsgravel/gpxs/006.gpx
007,Kessenich-Bahnhof Kottenforst und züruck,39,209,https://rdspt.com/inlawsgravel/gpxs/007.gpx
008,Tour divide 1: Kottenforst-Bad Go Rheinfähre - Oberdollendorf Weinberge,37,373,https://rdspt.com/inlawsgravel/gpxs/008.gpx
009,Dollendorfer Hardt-Klöster Heisterbach-Lauterbach-Vinxel,33,371,https://rdspt.com/inlawsgravel/gpxs/009.gpx
010,Alfter-Apfelmaar-Röttgen-Kottenforst,34,291,https://rdspt.com/inlawsgravel/gpxs/010.gpx
011,Siegaue und Rotter See,31,72,https://rdspt.com/inlawsgravel/gpxs/011.gpx
012,Drachenfelserländchen-Rheinufer V2,36,324,https://rdspt.com/inlawsgravel/gpxs/012.gpx
013,"I'm not looking for new England, I'm just looking for Wahner Heide",42,191,https://rdspt.com/inlawsgravel/gpxs/013.gpx
014,$InlawsGravel25_08_(Oneforthebooks),33,361,https://rdspt.com/inlawsgravel/gpxs/014.gpx
015,Dollendorfer Hardt-Ennert-Villich-Siegaue,35,267,https://rdspt.com/inlawsgravel/gpxs/015.gpx
016,Kottenforst-Villip-Bad Godesberg,39,346,https://rdspt.com/inlawsgravel/gpxs/016.gpx
017,$InlawsGravel3_Advent,34,401,https://rdspt.com/inlawsgravel/gpxs/017.gpx
018,Ennert-Schloss Birlinghoven-Hangelar-Sieg,34,248,https://rdspt.com/inlawsgravel/gpxs/018.gpx
019,Bornheim Felder und Apfelmaar,39,206,https://rdspt.com/inlawsgravel/gpxs/019.gpx
020,Rheinufer-Kottenforst-Witterschlick,36,218,https://rdspt.com/inlawsgravel/gpxs/020.gpx
021,Drachenfelserländchen-Rheinufer V3,37,386,https://rdspt.com/inlawsgravel/gpxs/021.gpx
022,Sieg-Agger Wald-Wahner Heide-Rotter See,44,235,https://rdspt.com/inlawsgravel/gpxs/022.gpx
023,Kottenforst Loop Nr. 1,30,327,https://rdspt.com/inlawsgravel/gpxs/023.gpx
024,TourDivide lol,41,663,https://rdspt.com/inlawsgravel/gpxs/024.gpx
025,Kottenforst-Waldville,42,209,https://rdspt.com/inlawsgravel/gpxs/025.gpx
026,Ennert-Vinxel-St. Augustin-Sieg,43,290,https://rdspt.com/inlawsgravel/gpxs/026.gpx
027,Kottenforst-Wachtberg-Berkum-Bad Godesberg,41,306,https://rdspt.com/inlawsgravel/gpxs/027.gpx
028,Teufelsarchbachtal 7G,34,356,https://rdspt.com/inlawsgravel/gpxs/028.gpx
029,Kottenforst Loop Nr. 2,32,287,https://rdspt.com/inlawsgravel/gpxs/029.gpx
030,Bornheim Felder-Aussichtsturm-Apfelmaar,44,314,https://rdspt.com/inlawsgravel/gpxs/030.gpx
031,Apfelmaar,40,218,https://rdspt.com/inlawsgravel/gpxs/031.gpx
032,Ennert-Birlinghoven-Sieg,38,311,https://rdspt.com/inlawsgravel/gpxs/032.gpx
033,7G Hillz,33,486,https://rdspt.com/inlawsgravel/gpxs/033.gpx
034,7G Nochmals,33,554,https://rdspt.com/inlawsgravel/gpxs/034.gpx
035,Meckenheim City Special,38,296,https://rdspt.com/inlawsgravel/gpxs/035.gpx
036,Kottenforst Trails 2,32,280,https://rdspt.com/inlawsgravel/gpxs/036.gpx
037,Sieg-Ho Chi Minh Trail,41,213,https://rdspt.com/inlawsgravel/gpxs/037.gpx
038,7G-Ölberg,33,583,https://rdspt.com/inlawsgravel/gpxs/038.gpx
039,Die schöne Seite von Wesseling,43,97,https://rdspt.com/inlawsgravel/gpxs/039.gpx
040,Annaberger Feld Rundgang,34,214,https://rdspt.com/inlawsgravel/gpxs/040.gpx
041,34/500sehenswürdigkeitensehen,34,490,https://rdspt.com/inlawsgravel/gpxs/041.gpx
042,InlawsKaffeeGravelwillkommenzurückArom,27,182,https://rdspt.com/inlawsgravel/gpxs/042.gpx
043,Grævelaws28_09_,41,313,https://rdspt.com/inlawsgravel/gpxs/043.gpx
044,InlawsRegengravel5_10_,31,282,https://rdspt.com/inlawsgravel/gpxs/044.gpx
