i,name,distance,elevation,url
001,InlawsSonntagsgravel:TourDividelol,41,663,https://rdspt.com/inlawsgravel/gpxs/001.gpx
002,"InlawsGravel09_03_Sieg,AggerWald,WahnerHeide,RotterSee",44,235,https://rdspt.com/inlawsgravel/gpxs/002.gpx
003,InlawsGravel23_02_,37,386,https://rdspt.com/inlawsgravel/gpxs/003.gpx
004,InlawsGravel19_01_,39,206,https://rdspt.com/inlawsgravel/gpxs/004.gpx
005,InlawsGravel11_01_2025,34,248,https://rdspt.com/inlawsgravel/gpxs/005.gpx
006,InlawsGravel3_Advent,34,401,https://rdspt.com/inlawsgravel/gpxs/006.gpx
007,InlawsGravel08_09_,39,346,https://rdspt.com/inlawsgravel/gpxs/007.gpx
008,InlawsGravel7g+Sieg,35,267,https://rdspt.com/inlawsgravel/gpxs/008.gpx
009,InlawsGravel25_08_,33,361,https://rdspt.com/inlawsgravel/gpxs/009.gpx
010,InlawsGravel04_08_,42,191,https://rdspt.com/inlawsgravel/gpxs/010.gpx
011,InlawsGravilla28_08_,36,324,https://rdspt.com/inlawsgravel/gpxs/011.gpx
012,InlawsGravel14_07_,31,72,https://rdspt.com/inlawsgravel/gpxs/012.gpx
013,InlawsGravel06_07_,34,291,https://rdspt.com/inlawsgravel/gpxs/013.gpx
014,InlawsGravel30_06_,33,371,https://rdspt.com/inlawsgravel/gpxs/014.gpx
015,InlawsGravel26_05_?,37,373,https://rdspt.com/inlawsgravel/gpxs/015.gpx
016,InlawsGravel13_05_,35,311,https://rdspt.com/inlawsgravel/gpxs/016.gpx
017,InlawsGravel05_05_,34,356,https://rdspt.com/inlawsgravel/gpxs/017.gpx
018,InlawsGravel21_02_?,42,428,https://rdspt.com/inlawsgravel/gpxs/018.gpx
019,10_12_GravelInlaws,51,371,https://rdspt.com/inlawsgravel/gpxs/019.gpx
020,InlawsSonntagsgravel:TourDividelol,41,663,https://rdspt.com/inlawsgravel/gpxs/020.gpx
021,InlawsSonntagsgravel16_3_25,30,327,https://rdspt.com/inlawsgravel/gpxs/021.gpx
022,16_03_25InlawsKoffiehell,30,202,https://rdspt.com/inlawsgravel/gpxs/022.gpx
023,"InlawsGravel09_03_Sieg,AggerWald,WahnerHeide,RotterSee",44,235,https://rdspt.com/inlawsgravel/gpxs/023.gpx
024,Inlawsgravel26_1_25,36,218,https://rdspt.com/inlawsgravel/gpxs/024.gpx
025,InlawsGravel19_01_25,39,206,https://rdspt.com/inlawsgravel/gpxs/025.gpx
026,InlawsGravel11_01_2025,34,248,https://rdspt.com/inlawsgravel/gpxs/026.gpx
027,InlawsGravel3_Advent,34,401,https://rdspt.com/inlawsgravel/gpxs/027.gpx
028,InlawsGravel25_08_(Oneforthebooks),33,361,https://rdspt.com/inlawsgravel/gpxs/028.gpx
029,InlawsGravel04_08_,42,191,https://rdspt.com/inlawsgravel/gpxs/029.gpx
030,InlawsGravel28_08_,36,324,https://rdspt.com/inlawsgravel/gpxs/030.gpx
031,InlawsGravel30_06_,33,371,https://rdspt.com/inlawsgravel/gpxs/031.gpx
032,InlawsGravel26_05_?,37,373,https://rdspt.com/inlawsgravel/gpxs/032.gpx
033,Inlawsgravel19_5_BorkeshofPaßmann,39,209,https://rdspt.com/inlawsgravel/gpxs/033.gpx
034,InlawsGravel05_05_,34,356,https://rdspt.com/inlawsgravel/gpxs/034.gpx
035,10_12_GravelInlaws,51,371,https://rdspt.com/inlawsgravel/gpxs/035.gpx
036,StanniInlawsgravelreverso,52,304,https://rdspt.com/inlawsgravel/gpxs/036.gpx
037,InlawsSonntagsrundeKottenforst-technical-(Dnns),31,357,https://rdspt.com/inlawsgravel/gpxs/037.gpx
038,InlawsSonntagsgravelKottenforst-Waldville-Bonn(Dnns),47,298,https://rdspt.com/inlawsgravel/gpxs/038.gpx
